Hours_Studied,Attendance,Previous_Scores,Parental_Involvement,Learning_Disabilities,Access_to_Resources,Distance_from_Home,Tutoring_Sessions,Exam_Score
23,73,60,Low,No,High,Near,1,67
23,98,55,Medium,No,Low,Near,3,71
17,82,56,High,No,Low,Near,3,66
13,60,67,Low,Yes,Medium,Far,1,58
18,79,96,Medium,Yes,High,Near,3,69
16,99,57,High,No,Medium,Near,4,71
34,79,79,High,Yes,Low,Moderate,3,70
27,78,61,High,No,Medium,Moderate,1,66
13,72,93,Low,No,Medium,Near,1,61
27,91,73,Low,No,Medium,Near,0,69
18,96,93,Medium,No,Medium,Near,0,72
25,91,86,Medium,No,Low,Near,0,70
22,97,68,High,No,Medium,Near,7,75
16,77,76,Low,No,High,Moderate,1,64
16,79,91,Medium,No,Medium,Near,4,69
18,64,97,Low,No,Low,Near,2,62
23,94,76,Medium,No,High,Moderate,3,72
20,87,56,Medium,No,Medium,Moderate,2,67
29,74,69,Medium,No,High,Far,1,67
28,66,52,Medium,No,Medium,Near,0,64
16,83,57,Low,Yes,Medium,Near,0,63
15,69,53,Medium,No,Medium,Near,0,60
27,69,51,Medium,No,Medium,Near,1,65
19,90,81,High,Yes,Low,Near,4,71
19,95,74,Medium,No,Medium,Near,0,69
21,94,100,High,No,Medium,Near,0,72
6,85,70,High,Yes,Medium,Near,0,64
8,78,84,High,No,Medium,Near,0,65
10,64,96,Medium,No,High,Moderate,1,62
16,89,54,High,No,Medium,Moderate,2,68
20,99,97,Low,No,Medium,Near,2,70
25,85,78,High,No,Medium,Far,2,69
10,80,93,High,No,Medium,Moderate,4,67
19,70,67,Medium,No,Medium,Moderate,5,67
9,91,88,Medium,Yes,Low,Near,2,65
15,86,57,Medium,No,Medium,Near,1,65
24,73,82,Low,Yes,Low,Near,0,63
18,82,62,High,No,Medium,Near,3,69
26,61,69,Medium,No,Medium,Near,2,66
23,93,53,High,No,High,Near,1,72
19,61,51,Medium,No,Medium,Near,1,60
22,95,97,Medium,No,Medium,Moderate,0,69
28,70,69,Medium,Yes,Medium,Near,2,66
23,94,100,Low,No,Medium,Near,0,69
27,95,94,Low,No,High,Far,2,74
28,77,73,High,No,High,Near,3,71
17,88,75,Medium,No,Medium,Near,2,68
16,62,89,High,No,Medium,Near,3,65
22,69,98,Low,No,Medium,Moderate,0,64
21,92,56,Medium,No,Medium,Moderate,0,67
17,72,94,Low,No,Medium,Far,4,64
18,83,100,Low,No,Medium,Near,1,66
9,66,100,Low,No,Medium,Near,3,62
24,81,71,Medium,No,Medium,Near,1,70
16,95,52,Medium,No,High,Moderate,0,69
15,95,99,Low,No,Medium,Near,0,68
19,98,73,Medium,No,Low,Near,3,69
19,87,75,Medium,No,Medium,Moderate,2,67
23,87,93,Medium,No,Low,Near,1,72
14,100,100,Medium,No,Medium,Moderate,3,71
24,63,92,Medium,No,Medium,Near,4,69
18,82,73,Low,No,Medium,Near,2,66
17,96,79,Medium,No,Low,Moderate,3,68
14,97,73,Low,No,Medium,Moderate,2,68
18,98,51,Medium,No,Low,Near,1,68
20,78,73,Medium,No,Medium,Near,1,65
17,97,88,Medium,No,High,Near,0,70
18,70,60,High,No,Low,Near,1,65
21,74,66,Medium,No,High,Near,1,66
15,63,66,Medium,No,High,Near,1,62
22,88,58,Medium,No,Medium,Moderate,3,68
25,70,79,Medium,No,Medium,Near,3,68
22,99,51,High,Yes,High,Moderate,2,72
18,73,72,Medium,Yes,High,Moderate,1,63
17,96,50,Medium,No,Medium,Near,1,67
32,72,93,High,No,Medium,Near,1,71
16,80,63,Low,No,Medium,Far,2,63
19,73,94,Medium,No,Medium,Near,1,67
15,64,84,Low,No,Low,Far,0,59
21,75,70,High,No,High,Near,1,69
15,67,65,Low,No,Medium,Near,4,63
11,79,99,High,No,High,Near,1,68
19,91,52,High,Yes,Low,Moderate,2,66
30,62,63,Medium,No,High,Moderate,2,68
20,81,61,Low,Yes,Medium,Near,0,63
14,65,59,High,No,Medium,Far,1,63
18,67,51,High,No,Medium,Near,0,64
24,96,69,Medium,No,High,Near,1,72
23,81,54,Low,No,Medium,Near,1,66
20,85,75,Low,No,Medium,Near,1,67
25,66,55,High,Yes,Medium,Moderate,4,84
21,89,51,High,No,Medium,Near,1,69
17,63,92,Medium,No,Medium,Near,2,63
16,78,99,Medium,No,High,Far,0,65
7,79,85,Low,No,High,Near,0,62
29,92,91,High,No,Medium,Near,1,75
15,97,67,Low,No,Medium,Near,1,68
18,77,61,Medium,No,High,Near,1,65
31,77,84,High,No,Medium,Near,2,73
20,77,58,Low,No,High,Near,0,66
23,78,74,Medium,No,Medium,Moderate,3,67
20,93,95,Medium,No,Medium,Moderate,1,70
26,72,72,Medium,No,Low,Near,2,65
27,79,90,High,No,High,Near,3,73
24,73,99,Medium,No,Medium,Near,3,69
30,88,62,Medium,No,Medium,Far,4,73
29,86,84,Medium,No,High,Near,1,72
18,86,75,Medium,No,Medium,Near,0,67
19,89,55,Medium,No,Medium,Moderate,1,67
15,67,75,Medium,No,Medium,Near,0,63
23,71,75,Low,No,Low,Near,1,63
17,85,66,High,No,High,Moderate,0,68
23,93,57,High,No,Medium,Near,1,72
11,86,75,Medium,No,Medium,Moderate,1,65
21,60,62,High,No,Medium,Near,2,64
18,89,72,Medium,No,High,Near,4,69
19,65,58,Low,No,High,Moderate,2,64
18,72,73,High,Yes,High,Near,0,66
12,72,90,Medium,No,Low,Far,0,63
26,80,73,High,No,Low,Near,1,69
32,76,96,Low,No,Low,Moderate,0,67
19,61,83,Low,No,High,Near,1,62
32,97,82,Medium,No,High,Moderate,1,74
18,73,88,Medium,No,Low,Near,1,66
29,86,61,Medium,No,Medium,Far,0,68
22,95,69,Medium,No,High,Near,1,72
19,76,76,High,No,Low,Near,0,66
21,65,83,Low,No,High,Near,3,65
26,64,62,Medium,No,Medium,Near,3,66
23,94,75,Low,No,Low,Moderate,3,69
26,62,72,High,No,Low,Moderate,1,64
28,69,98,Medium,No,Low,Near,0,67
15,77,63,Low,No,Medium,Near,0,62
23,64,83,Medium,No,Low,Moderate,0,63
25,76,89,Medium,No,Medium,Far,3,69
17,62,54,High,No,Low,Near,2,62
7,91,94,High,No,Medium,Moderate,3,68
21,76,64,Low,No,High,Near,1,66
28,66,97,Medium,No,High,Near,0,68
25,89,51,Medium,No,High,Moderate,2,70
23,72,66,Low,No,Medium,Near,3,66
36,90,68,Medium,No,High,Moderate,1,74
27,77,96,Medium,No,High,Moderate,0,71
25,82,86,Medium,No,Medium,Near,3,69
15,96,54,Medium,No,Medium,Near,3,67
27,68,79,Low,Yes,Medium,Moderate,2,64
19,83,90,High,No,Medium,Moderate,3,69
23,75,87,Medium,No,Medium,Near,0,66
26,88,81,Low,No,High,Near,1,71
18,88,96,High,No,High,Far,1,69
23,87,56,High,No,High,Moderate,1,71
18,82,50,High,No,Low,Moderate,1,66
21,89,90,Low,No,Medium,Far,4,70
17,87,83,High,No,High,Moderate,0,69
16,94,76,Medium,Yes,Medium,Near,2,67
24,90,97,Low,No,Low,Near,3,71
23,81,74,Medium,No,Low,Near,0,66
27,78,86,Medium,No,Medium,Moderate,3,70
14,91,62,Medium,No,Medium,Near,2,68
17,85,93,High,No,Low,Far,2,68
25,72,89,Medium,No,Medium,Near,3,68
12,65,86,Medium,No,Low,Near,1,62
20,78,61,Medium,Yes,Low,Moderate,0,62
28,64,56,Medium,No,Medium,Near,1,64
17,88,67,Low,No,Low,Near,0,65
17,61,87,Medium,No,Medium,Near,5,65
16,66,52,Low,Yes,Medium,Near,1,59
13,78,96,Medium,No,High,Moderate,2,67
20,91,61,High,No,High,Near,4,72
20,67,76,Low,No,Medium,Near,0,63
23,87,59,Medium,No,High,Near,1,70
18,66,89,Medium,Yes,Medium,Near,4,65
14,82,67,Medium,No,Medium,Moderate,1,65
26,88,67,Low,No,Low,Far,0,65
19,79,92,Medium,No,Medium,Near,1,68
17,86,60,High,Yes,Low,Moderate,2,67
21,71,59,Low,No,Medium,Moderate,3,64
19,94,95,Low,No,Medium,Moderate,3,69
18,66,59,Medium,No,High,Near,0,62
21,70,83,Medium,No,Medium,Far,1,65
18,75,100,Medium,No,Low,Near,2,67
16,61,53,High,Yes,Medium,Moderate,0,60
19,96,70,Low,No,Low,Far,0,66
20,82,66,Low,No,Medium,Near,0,66
25,76,78,Medium,No,High,Moderate,2,68
19,85,98,Medium,Yes,Medium,Moderate,2,68
19,83,64,High,No,High,Near,0,68
1,88,72,Medium,No,High,Near,3,92
16,68,85,Low,No,Medium,Moderate,1,64
27,80,94,Low,No,Low,Near,3,69
18,70,56,Medium,No,Medium,Near,1,65
31,72,94,Low,No,High,Near,2,70
29,90,94,High,No,Medium,Near,1,73
10,67,61,High,No,High,Near,0,61
18,71,84,Medium,No,Medium,Near,2,65
22,99,92,Medium,No,Low,Moderate,3,72
28,82,95,Low,No,Medium,Near,0,69
21,69,63,High,No,Low,Moderate,0,64
14,68,85,Low,No,Medium,Near,2,63
30,98,93,Medium,No,Low,Near,1,88
26,64,53,Low,No,High,Near,2,64
19,85,71,High,No,Medium,Far,1,66
33,64,65,Low,No,Medium,Moderate,0,65
19,67,84,High,No,Medium,Moderate,0,64
8,75,92,Medium,No,Medium,Moderate,5,66
18,75,80,High,No,Medium,Near,2,67
13,98,81,High,No,Low,Near,1,69
13,79,63,Medium,No,High,Near,3,65
26,77,63,Low,No,Medium,Near,1,66
18,99,81,Medium,No,High,Near,1,72
26,67,77,Low,Yes,Medium,Moderate,2,64
18,75,88,Medium,Yes,Medium,Near,2,66
19,97,94,Medium,No,Low,Near,2,72
21,93,56,Medium,No,Medium,Near,1,68
17,83,51,Medium,No,High,Moderate,0,64
27,100,97,Low,No,Medium,Near,4,74
23,90,89,Medium,No,Medium,Moderate,2,71
16,92,63,Low,No,High,Moderate,2,68
24,98,53,Low,No,Medium,Near,1,69
14,70,88,Medium,No,Medium,Moderate,0,64
16,71,73,High,Yes,Medium,Near,1,63
24,69,67,Medium,No,High,Far,2,67
21,76,99,Low,No,Low,Far,0,65
18,64,57,Low,No,Medium,Moderate,1,61
20,84,96,Low,No,Medium,Near,1,65
13,90,81,High,No,Medium,Moderate,0,67
18,86,62,Low,Yes,Medium,Near,4,67
30,77,74,Medium,No,Low,Moderate,3,70
24,91,76,Medium,No,Low,Near,1,70
15,64,67,High,No,Medium,Near,2,64
19,92,88,Medium,No,Medium,Near,1,71
15,63,74,High,No,Low,Moderate,4,62
16,71,69,Medium,No,High,Near,1,65
32,94,53,Medium,No,High,Near,1,73
22,74,68,Low,No,High,Far,0,65
26,81,60,High,No,Low,Near,2,71
19,82,82,Medium,No,Medium,Moderate,2,69
31,86,66,High,No,High,Moderate,3,75
18,95,54,Medium,No,High,Moderate,2,70
15,98,71,Low,No,Medium,Near,1,68
18,78,69,Medium,No,Medium,Moderate,1,66
23,90,73,Medium,No,Medium,Near,1,69
14,65,81,Low,No,Medium,Moderate,1,61
17,66,54,High,Yes,Medium,Near,2,63
25,82,68,High,No,Low,Near,1,68
21,89,65,Low,No,Low,Near,2,67
22,81,90,Low,No,Low,Moderate,0,66
18,73,88,Low,No,Medium,Moderate,3,65
11,89,69,Low,No,High,Near,1,64
24,63,99,Medium,No,Medium,Near,2,66
23,72,78,Medium,No,Medium,Near,1,66
20,81,69,Medium,No,Low,Near,1,65
13,67,76,High,No,High,Near,2,65
14,64,62,Medium,Yes,High,Moderate,1,61
20,80,77,Low,No,Low,Near,0,64
20,76,86,Medium,No,High,Near,2,68
12,70,53,Medium,No,High,Near,2,63
11,69,65,Low,No,Medium,Moderate,0,58
26,82,79,High,Yes,Low,Near,1,69
25,64,82,Medium,No,Low,Moderate,2,63
16,76,56,Low,No,High,Near,1,62
19,90,85,High,No,High,Near,2,72
18,95,65,Low,No,Medium,Near,1,68
31,84,50,Medium,No,Medium,Near,2,69
24,95,78,High,No,High,Far,2,73
32,83,74,Medium,No,Medium,Moderate,3,71
23,62,92,High,No,Medium,Moderate,0,65
21,94,85,High,No,Low,Near,1,70
12,96,84,High,No,High,Near,3,73
17,68,57,Medium,Yes,Medium,Moderate,1,62
15,91,61,Medium,No,Low,Moderate,0,65
14,77,55,Medium,No,Medium,Near,2,65
21,99,53,Medium,No,High,Near,0,71
19,84,67,High,No,Medium,Near,0,68
16,75,86,Low,No,Low,Moderate,0,62
11,87,53,Low,No,Medium,Near,1,64
21,64,83,High,No,Low,Moderate,2,64
25,77,90,Medium,No,Medium,Near,1,68
33,61,92,High,No,Medium,Near,1,69
20,71,63,Low,No,High,Moderate,1,65
20,61,81,Medium,No,Medium,Moderate,1,62
25,66,70,High,No,Medium,Moderate,1,66
19,63,56,Medium,No,High,Near,2,64
20,84,63,High,No,High,Near,0,69
14,97,88,Low,No,Medium,Near,2,71
19,80,99,Low,No,Low,Near,1,67
25,70,73,Low,No,High,Near,1,65
29,91,54,Medium,No,High,Moderate,2,71
16,100,55,High,Yes,High,Moderate,1,69
20,78,92,Low,No,Medium,Far,1,65
22,78,54,High,Yes,Medium,Moderate,1,65
12,80,59,Medium,No,Medium,Near,1,64
9,78,100,High,No,Medium,Near,2,66
12,98,63,Low,Yes,Medium,Near,0,65
12,96,88,High,No,High,Moderate,0,70
11,78,98,Medium,No,Low,Near,2,64
22,67,59,Medium,No,Medium,Near,2,67
20,79,74,Medium,No,Low,Far,2,64
17,98,72,Medium,No,High,Near,0,71
24,80,96,Medium,No,High,Moderate,0,70
22,80,79,Low,No,Low,Moderate,0,66
18,81,95,High,No,High,Near,1,69
12,61,81,Medium,No,Medium,Far,2,62
25,87,84,High,No,High,Moderate,2,73
16,92,85,Medium,No,High,Moderate,1,68
17,81,68,High,No,Low,Near,1,66
17,69,96,High,No,High,Far,2,66
23,94,84,High,No,Medium,Near,0,73
19,65,87,High,No,Medium,Moderate,0,65
20,71,62,Low,No,High,Near,2,66
12,76,51,Medium,No,Low,Near,0,60
22,85,66,High,No,Medium,Near,0,68
26,98,73,Low,No,Medium,Near,2,70
24,67,89,High,No,Medium,Near,2,68
15,88,55,High,No,Medium,Near,1,67
27,85,66,High,Yes,Medium,Moderate,2,70
18,93,76,Medium,No,High,Near,3,70
18,60,91,Medium,Yes,High,Near,2,62
13,64,88,Low,No,Low,Moderate,1,59
44,68,75,High,No,Low,Moderate,3,71
20,97,83,Low,No,Medium,Near,3,73
27,100,78,Low,No,Low,Near,2,70
21,88,63,Medium,No,Medium,Near,1,68
20,79,66,High,No,Medium,Near,3,68
18,100,86,High,No,Medium,Near,1,72
15,95,90,Medium,No,Medium,Near,2,69
20,90,79,High,No,High,Near,2,70
25,66,84,Medium,No,High,Near,2,67
21,78,91,Medium,Yes,Low,Near,0,64
15,79,80,High,No,Medium,Far,1,66
24,75,68,Medium,No,Low,Near,2,67
15,89,96,Medium,No,Medium,Near,3,69
21,70,63,Low,No,Low,Far,0,61
13,60,66,Medium,No,Medium,Near,2,62
19,66,81,Medium,No,High,Moderate,1,66
20,85,81,Medium,No,Low,Near,1,68
21,66,61,High,No,Medium,Near,2,66
16,79,87,Low,No,Medium,Moderate,1,64
16,70,50,Medium,No,High,Far,3,65
25,81,87,Medium,No,Medium,Moderate,1,68
18,91,76,Low,No,Medium,Near,1,68
15,83,91,Medium,No,Low,Far,0,64
17,74,62,Medium,No,Medium,Near,2,66
22,61,76,Low,No,Low,Near,1,64
23,75,73,Low,No,High,Moderate,1,65
27,81,97,Medium,No,Medium,Near,1,70
20,61,89,Medium,No,High,Far,1,64
14,94,89,High,No,Medium,Near,0,70
16,82,99,High,No,High,Moderate,3,70
12,67,57,High,No,Medium,Moderate,0,61
21,100,94,Low,No,High,Moderate,1,72
15,65,69,Medium,No,Medium,Near,1,64
23,74,93,Medium,No,High,Near,4,70
15,89,82,Low,No,Medium,Near,1,66
22,90,81,Low,No,Medium,Near,0,69
23,91,77,Low,No,Medium,Near,1,70
11,75,92,Low,No,Medium,Moderate,2,63
29,93,93,Medium,No,Medium,Near,2,74
15,79,66,Medium,No,High,Far,2,66
18,76,95,Medium,No,Low,Near,2,69
23,78,80,High,No,High,Near,0,68
25,86,65,High,No,Medium,Moderate,2,71
25,99,88,High,No,Medium,Moderate,3,75
25,94,71,High,No,High,Near,4,74
24,62,91,Low,No,High,Moderate,2,65
18,94,52,Low,No,Medium,Near,1,68
24,77,96,High,No,Low,Near,0,67
16,74,80,Medium,No,High,Near,0,64
27,74,71,Medium,No,High,Near,1,69
21,79,87,Medium,No,High,Moderate,1,69
14,79,81,High,No,Medium,Near,3,67
13,86,59,Medium,No,High,Near,3,67
10,70,99,High,No,High,Moderate,1,65
12,88,65,Medium,No,Medium,Near,0,65
12,90,77,Medium,No,High,Near,3,70
21,98,88,Low,No,Medium,Near,1,71
22,83,99,High,Yes,Medium,Near,4,71
21,70,74,Medium,No,Medium,Far,2,65
23,68,92,Low,No,Low,Near,3,65
12,65,71,Medium,No,High,Moderate,1,62
12,100,68,Medium,No,Medium,Far,2,68
19,97,64,High,No,Low,Near,2,71
23,98,80,High,No,Medium,Moderate,1,73
17,69,83,High,Yes,Medium,Moderate,2,66
29,92,63,Medium,No,Medium,Moderate,1,71
26,69,61,Medium,No,Medium,Near,1,67
29,72,50,Low,No,Medium,Near,0,64
19,81,90,Low,No,High,Near,2,67
12,73,60,High,No,Medium,Moderate,1,62
19,78,89,High,No,High,Moderate,2,69
24,88,87,High,No,Medium,Near,1,72
30,69,66,Medium,No,Medium,Near,0,68
18,98,87,Low,No,High,Near,0,70
17,97,56,Medium,No,Medium,Near,2,69
10,72,83,Medium,No,Medium,Near,0,63
24,89,69,High,No,Medium,Near,3,70
25,74,94,Low,No,High,Moderate,0,68
39,92,73,Medium,No,Medium,Moderate,1,75
24,89,53,Medium,No,Low,Near,1,68
10,65,55,Low,No,High,Near,0,59
23,76,84,Medium,No,Medium,Near,2,70
20,69,76,High,No,Medium,Near,1,67
24,92,76,Medium,No,High,Near,2,72
25,89,81,Medium,No,Medium,Near,3,71
29,70,97,Low,No,High,Moderate,3,70
21,85,50,Medium,No,Medium,Far,1,65
22,73,76,High,No,High,Far,3,69
12,62,63,Medium,No,High,Near,1,62
20,63,75,Low,No,Medium,Near,2,63
28,86,96,Medium,No,Medium,Near,2,71
21,84,52,Medium,Yes,Medium,Far,1,65
31,64,93,Medium,No,High,Near,1,69
13,93,96,Low,No,Medium,Near,2,68
14,63,81,Medium,No,Medium,Near,0,61
22,76,83,High,No,Low,Near,0,66
33,88,84,Medium,No,Low,Near,1,70
26,84,64,Medium,No,Medium,Near,2,69
21,95,98,Low,No,Low,Near,1,69
17,81,95,High,No,Medium,Near,2,69
29,98,88,Medium,No,High,Near,3,75
17,97,84,Medium,No,Medium,Near,3,70
19,88,95,High,No,Medium,Near,1,70
20,97,56,Medium,No,Medium,Near,1,68
23,61,58,Low,No,Medium,Near,4,63
11,68,80,Medium,No,Medium,Moderate,2,63
28,73,54,Low,No,Medium,Near,4,67
19,99,79,Low,No,Low,Near,3,70
13,88,53,High,No,Medium,Moderate,2,66
27,97,81,Low,No,High,Near,0,73
24,95,63,Medium,No,Low,Near,3,70
15,98,89,Medium,No,Medium,Moderate,2,68
19,87,50,Low,No,High,Near,3,68
23,68,71,Medium,No,High,Moderate,3,68
20,68,80,Medium,No,Medium,Near,0,63
19,67,82,Medium,No,Medium,Near,1,63
22,93,52,Medium,No,Medium,Near,1,69
20,63,61,Medium,No,Medium,Near,2,64
22,68,53,High,No,Medium,Moderate,1,65
18,64,67,High,No,Medium,Near,0,63
23,83,89,High,No,High,Far,1,99
33,60,85,High,No,High,Near,4,68
14,87,55,Medium,No,Medium,Near,2,68
9,60,93,Medium,No,Low,Moderate,3,60
22,82,93,Medium,No,Medium,Near,2,68
22,62,69,High,No,Medium,Near,1,64
20,97,81,Medium,Yes,Medium,Near,3,71
23,63,94,Medium,No,Medium,Near,2,68
9,77,57,Medium,No,Medium,Near,2,61
19,71,96,High,Yes,High,Near,2,67
13,87,98,Low,Yes,Medium,Moderate,0,66
24,74,78,High,No,Medium,Near,3,70
19,83,76,Low,No,Low,Near,3,65
28,66,67,Medium,No,High,Moderate,1,68
25,63,69,High,No,Medium,Moderate,0,64
21,95,62,Medium,No,Medium,Near,1,70
17,60,86,High,No,Medium,Near,0,63
8,67,92,Medium,No,Medium,Near,0,63
18,69,89,Low,Yes,Low,Moderate,2,61
11,84,59,Medium,No,Low,Near,2,64
19,84,75,Medium,No,High,Far,1,66
10,97,72,Low,No,High,Moderate,0,67
21,76,67,Medium,No,Medium,Moderate,1,66
33,77,85,Low,No,High,Far,0,69
8,64,66,Medium,No,Medium,Near,1,60
11,85,79,Medium,No,Medium,Near,2,65
19,84,69,Medium,No,Medium,Near,2,68
21,71,79,Medium,No,Medium,Far,1,65
21,76,65,Medium,No,Medium,Near,2,65
14,91,93,Medium,No,Medium,Moderate,0,67
8,73,54,Medium,No,High,Near,2,63
22,83,53,Low,No,High,Near,0,65
24,62,53,High,No,Low,Near,0,65
12,92,92,Medium,Yes,Medium,Moderate,2,67
18,90,81,High,No,Medium,Moderate,2,69
20,64,73,Medium,No,Low,Far,3,65
15,80,91,Medium,No,Medium,Moderate,3,67
15,73,63,Medium,No,High,Moderate,2,65
16,77,69,Medium,No,Low,Near,1,63
23,81,84,Medium,No,Low,Near,2,68
13,60,64,High,No,Low,Far,1,59
23,75,61,Low,No,Low,Far,2,64
15,61,52,High,No,Low,Moderate,1,60
24,92,71,Low,No,High,Near,2,71
15,93,61,Medium,No,Medium,Near,1,67
15,62,96,Low,No,High,Far,0,62
26,96,63,Medium,No,Medium,Near,1,72
20,67,93,Medium,Yes,Medium,Near,1,62
25,99,79,Medium,No,Low,Near,2,71
20,79,91,High,Yes,Low,Moderate,2,66
22,97,54,Medium,No,High,Near,1,72
27,80,65,Low,No,Low,Near,1,67
13,99,95,Low,No,High,Near,0,69
18,77,55,Medium,Yes,High,Near,3,66
19,98,87,Medium,No,High,Moderate,1,74
12,90,61,Medium,No,Low,Near,2,66
12,85,54,Medium,No,Medium,Moderate,4,66
21,68,100,Medium,No,Low,Far,0,63
16,87,53,High,No,Medium,Near,3,70
12,77,64,Low,No,Medium,Moderate,2,64
27,92,100,Medium,No,Low,Moderate,2,73
22,88,60,Medium,No,Medium,Moderate,1,67
12,65,65,Low,No,Medium,Near,2,60
22,93,96,High,No,Medium,Near,1,73
27,76,69,Medium,No,High,Near,0,70
18,83,80,High,No,Medium,Near,1,70
13,96,62,Medium,No,High,Near,0,69
17,86,97,Medium,No,High,Near,3,71
9,94,81,Medium,No,Medium,Near,0,66
16,81,85,Medium,No,High,Near,2,68
14,81,71,Low,Yes,Medium,Near,1,63
16,61,64,High,No,High,Far,1,62
13,85,96,Low,No,Medium,Far,1,66
15,67,74,Medium,No,Medium,Moderate,0,61
29,61,74,Low,No,Medium,Moderate,1,65
25,82,61,High,No,Medium,Near,1,68
23,70,94,Medium,No,High,Near,3,68
31,93,82,Medium,No,Low,Near,2,72
29,85,65,High,No,Medium,Moderate,4,72
19,94,51,Low,No,Medium,Near,3,69
24,80,66,Medium,No,High,Moderate,1,69
28,99,100,Low,No,Medium,Far,0,72
9,81,99,Medium,No,Medium,Moderate,2,64
10,93,52,Low,No,Medium,Near,2,66
8,78,94,High,Yes,High,Near,1,65
22,83,80,Low,No,High,Moderate,2,69
16,70,95,High,No,High,Near,1,66
16,65,97,High,Yes,Low,Near,2,63
29,78,92,High,No,Medium,Near,2,70
33,93,96,Medium,No,Medium,Far,0,75
15,75,94,High,Yes,Medium,Moderate,1,62
16,69,55,Medium,No,High,Moderate,1,62
31,81,70,Medium,No,Medium,Near,1,70
25,73,56,Medium,No,Medium,Near,2,93
20,79,71,Medium,No,Medium,Near,1,68
22,72,64,High,No,Medium,Near,1,66
29,84,68,Medium,No,Low,Moderate,1,67
20,68,89,Medium,No,Medium,Far,0,65
17,92,68,Medium,No,Medium,Near,0,68
17,64,74,High,No,Low,Near,2,64
27,93,78,Medium,No,Medium,Near,1,72
17,75,81,High,Yes,Medium,Near,3,67
27,64,77,Medium,No,Medium,Moderate,3,68
26,93,78,Medium,No,Medium,Far,2,72
17,96,88,High,No,High,Near,4,74
18,96,52,High,No,Low,Near,1,68
14,79,70,Medium,No,Medium,Moderate,1,65
16,63,95,Medium,No,Medium,Far,1,63
21,96,71,Medium,No,Medium,Moderate,2,70
21,69,66,Medium,No,Medium,Far,1,64
28,87,52,Medium,No,Medium,Near,4,70
20,71,77,High,No,Medium,Moderate,0,66
13,70,87,Medium,No,Medium,Near,1,62
10,85,53,Low,Yes,Low,Moderate,1,60
22,91,73,High,No,High,Near,3,74
16,68,77,High,No,Medium,Near,1,66
26,79,97,Medium,No,Low,Near,1,69
22,79,71,Medium,No,Medium,Moderate,2,66
17,87,74,Medium,No,High,Moderate,1,68
25,95,76,Low,No,High,Near,1,71
16,99,77,Low,Yes,High,Moderate,0,68
14,97,62,Low,Yes,High,Far,1,66
22,78,92,High,No,High,Moderate,1,70
18,68,69,Medium,Yes,High,Moderate,1,63
19,77,53,High,No,Low,Near,1,64
22,60,92,Medium,No,Medium,Near,2,63
23,97,57,High,No,High,Far,2,72
26,97,83,Medium,No,Medium,Near,2,74
27,64,70,Low,No,Medium,Near,0,65
15,94,94,Low,No,Medium,Moderate,1,68
19,96,82,Medium,No,Medium,Near,1,71
20,98,72,Medium,No,Medium,Near,1,70
29,61,52,Medium,No,High,Near,3,67
24,70,74,Medium,No,High,Near,2,67
15,88,61,Low,Yes,Medium,Far,0,65
13,84,98,High,Yes,Medium,Near,0,64
17,84,70,High,No,High,Near,1,68
13,70,96,Low,No,Medium,Moderate,2,64
21,65,91,Medium,No,Low,Far,2,64
24,90,99,High,No,High,Moderate,0,72
20,65,62,Medium,Yes,Low,Near,0,80
25,73,73,Medium,No,Low,Near,1,66
12,72,56,Low,Yes,High,Moderate,3,62
20,80,89,Low,No,Medium,Far,0,67
21,94,73,Medium,No,High,Far,0,70
18,82,67,Low,No,Medium,Moderate,1,66
19,93,84,Medium,No,Medium,Near,0,68
19,77,54,High,No,Medium,Moderate,3,66
30,86,85,Medium,Yes,High,Far,2,72
20,68,98,Low,No,Medium,Near,0,64
21,80,78,Medium,No,High,Moderate,1,67
22,96,84,Low,No,High,Near,1,71
25,90,64,Medium,No,Medium,Moderate,2,71
21,74,52,Medium,No,Low,Far,1,62
24,88,71,High,No,High,Near,2,72
18,98,90,Low,No,Low,Moderate,0,68
24,83,85,Low,No,High,Moderate,1,68
20,90,70,High,No,Medium,Moderate,0,68
23,66,90,Medium,No,High,Near,2,66
20,87,99,Medium,No,Medium,Near,3,69
23,94,58,Low,No,Medium,Near,5,71
17,95,54,High,No,Medium,Moderate,2,69
22,62,64,Medium,No,Medium,Near,0,63
5,87,86,High,No,Low,Near,2,66
25,69,88,Medium,No,Medium,Near,0,66
25,82,81,Medium,No,High,Moderate,2,71
27,89,89,Medium,No,High,Near,3,74
22,72,88,Low,No,High,Near,2,66
15,91,91,Medium,No,Low,Moderate,0,67
15,85,82,High,No,Medium,Far,2,67
21,86,86,Medium,No,Medium,Near,2,71
14,87,74,Medium,Yes,Low,Moderate,0,64
13,70,53,Medium,Yes,Medium,Moderate,2,60
34,87,69,Medium,No,Low,Moderate,3,72
26,71,65,High,No,Low,Near,1,66
21,63,60,High,No,Low,Near,2,64
29,93,74,High,No,High,Near,3,76
12,68,98,Medium,No,High,Near,1,65
29,71,92,High,No,Medium,Near,1,69
5,70,55,High,No,High,Near,3,62
17,80,68,Medium,Yes,Medium,Near,0,65
10,89,62,Medium,No,Medium,Moderate,4,67
29,73,68,High,Yes,Medium,Moderate,1,67
23,91,73,Low,No,Medium,Far,3,68
16,66,97,Medium,No,Medium,Near,5,68
20,77,59,Low,No,Low,Moderate,1,62
